parameter,factor,rate,rmse_mV,mae_mV,bias_mV,Q_exp_Ah,Q_sim_Ah,capacity_error_pct,runtime_s
j0p,0.8,C2,114.18062034029909,86.14879014711572,85.74938742709558,4.92394309,5.054315248962857,2.647718638902008,0.9939562659999979
j0p,0.8,1C,65.640290974032,59.70473617631722,59.70473617631722,4.92969848,4.976834009748741,0.9561544167451962,0.9939562659999979
j0p,0.8,1p5C,43.549852896637304,36.58194913729438,20.620854935728236,4.92251608,4.8927752095423775,-0.6041802601409226,0.9939562659999979
j0p,1.2,C10,82.54007321623972,65.18767730594908,65.18767730594908,4.99775592,5.119744970131704,2.440876507064462,1.0946100240000192
j0p,1.2,C2,116.90647728967191,89.20066975340669,88.99190960647161,4.92394309,5.055533503560207,2.6724600823972464,1.0946100240000192
j0p,1.2,1C,73.04532003296998,67.316802232918,67.316802232918,4.92969848,4.979998114832027,1.0203389727808834,1.0946100240000192
j0p,1.2,1p5C,49.41333933626539,42.7429350487697,32.268520272740176,4.92251608,4.898863891716003,-0.48048981251875383,1.0946100240000192
De,0.8,C10,81.67272166098907,64.15119037939665,64.15119037939665,4.99775592,5.119277132603652,2.431515555158435,1.1188945450000176
De,0.8,C2,112.96227792385238,84.43871397255289,84.0189710625379,4.92394309,5.053948782686468,2.6402761021039316,1.1188945450000176
De,0.8,1C,60.30557641582254,53.9931618360438,53.9931618360438,4.92969848,4.97508152166202,0.920604816828874,1.1188945450000176
De,0.8,1p5C,40.41177745100909,32.474836727262584,6.28232501725142,4.92251608,4.885723816929263,-0.7474279915554264,1.1188945450000176
De,1.2,C10,82.77151250692263,65.47748509765859,65.47748509765859,4.99775592,5.119855118944406,2.4430804724934494,1.0069653760000108
De,1.2,C2,117.64090362344044,90.22342059978752,90.0297871860329,4.92394309,5.055739534044348,2.6766443404273472,1.0069653760000108
De,1.2,1C,75.79444729659119,70.22018320363333,70.22018320363333,4.92969848,4.980789093324969,1.036384142605186,1.0069653760000108
