cycle,pulse_id,branch,SOC_start,SOC_end,SOC_mid,I_A,pulse_time_s,relax_time_s,capacity_increment_mAh,delta_V_pulse_mV,delta_V_relax_mV,dE_s_mV,dE_tau_expected_mV,sqrt_t_slope_V_per_sqrt_s,sqrt_t_slope_stderr,sqrt_t_r2,u_prime_V_per_soc,u_prime_knots,u_prime_halfwidth_soc,u_prime_window_curvature_mV,Q_th_Ah,R_m,tau_d_s,Ds_app_m2_s,Ds_app_cm2_s,Ds_app_rel_uncertainty,Ds_app_cm2_s_uncertainty,Ds_app_relax_m2_s,Ds_app_relax_cm2_s,relax_over_pulse_sqrt_ratio,accepted,flags
1,34,lithiation,0.31777868219188016,0.3274082414180228,0.3225934618049515,4.41541e-05,1799.9799999999814,9000.0,0.022076804699444213,-28.24155980000001,42.23386940000001,-9.792426632230391,-0.8000640193868541,-0.0002308109914842443,2.8915005739118183e-06,0.7855961727536561,-0.08141075792554354,6,0.014444338839214005,1.9085854000000095,0.0022464319849470867,1.37e-05,1906036.6350507103,9.847134968368877e-17,9.847134968368877e-13,0.025055137585241027,2.4672132145292028e-14,2.743987675493572e-13,2.743987675493572e-09,52.78811242176197,False,sqrt(t) fit weak (R2=0.786)
1,35,lithiation,0.3274082414180228,0.33703777883518454,0.3322230101266037,4.4154e-05,1799.9799999999814,9000.0,0.02207675469999977,-28.37423230000001,42.19531260000001,-10.11836007061737,-0.7160124182057919,-0.00023849335898081173,2.829263312085898e-06,0.803384705939113,-0.07285822666122288,6,0.014444306125742573,1.8003732000000106,0.0022464319849470867,1.37e-05,2540851.136910719,7.386894779998875e-17,7.386894779998875e-13,0.023726139161078526,1.7526249351849785e-14,2.565365329745192e-13,2.5653653297451923e-09,58.93097874717654,False,sqrt(t) fit weak (R2=0.803)
1,36,lithiation,0.33703777883518454,0.3466673598703081,0.3418525693527463,4.41542e-05,1799.9799999999814,9000.0,0.02207685469888866,-28.7678465,42.44364050000001,-10.427351635843728,-0.6332268976973641,-0.00024577640047896587,2.807176526016593e-06,0.8150886685207595,-0.06443404987340809,6,0.014444371552685353,1.3200714999999918,0.0022464319849470867,1.37e-05,3450081.86668989,5.4401607629118455e-17,5.440160762911845e-13,0.022843336630742447,1.2427142363255193e-14,2.4440961119616463e-13,2.444096111961646e-09,67.02753887167462,False,sqrt(t) fit weak (R2=0.815)
1,37,lithiation,0.3466673598703081,0.35629696271441247,0.3514821612923603,4.41543e-05,1799.9799999999814,9000.0,0.022076904698333105,-29.371932199999993,42.819425499999994,-10.735833514633626,-0.5518473742521266,-0.0002530474284858616,2.8009535792683343e-06,0.8243596565913293,-0.05615314326299756,6,0.014444404266156535,1.1377335000000017,0.0022464319849470867,1.37e-05,4815414.161174299,3.897691739857105e-17,3.897691739857105e-13,0.02213777548365666,8.62862246414597e-15,2.3466655624784635e-13,2.3466655624784637e-09,77.59287712119612,False,sqrt(t) fit weak (R2=0.824)
1,38,lithiation,0.35629696271441247,0.36592665279444037,0.3611118077544264,4.41547e-05,1799.9799999999814,9000.0,0.02207710469611088,-29.74996719999999,44.2499891,-11.506224990684224,-0.465747985420904,-0.00027120583059561003,2.85053636243822e-06,0.838847289610748,-0.04739168408973935,6,0.014444535120041846,0.9828358999999925,0.0022464319849470867,1.37e-05,7765399.869321194,2.4170036721677123e-17,2.4170036721677124e-13,0.021021202650238015,5.080832399900693e-15,2.181733379854267e-13,2.181733379854267e-09,95.00843908108494,False,sqrt(t) fit weak (R2=0.839)
1,39,lithiation,0.36592665279444037,0.37555634287446826,0.3707414978344543,4.41547e-05,1799.9799999999814,9000.0,0.02207710469611088,-31.218327600000013,45.4263166,-12.044345230977934,-0.4326467363606477,-0.00028388951676090957,2.9207222008423708e-06,0.8445451588557602,-0.04402350218118689,6,0.014444535120041846,1.0806619999999962,0.0022464319849470867,1.37e-05,9860514.97724298,1.903450280570219e-17,1.903450280570219e-13,0.020576470974813695,3.91662894501541e-15,2.0984069696546792e-13,2.0984069696546793e-09,104.9963232870277,False,sqrt(t) fit weak (R2=0.845)
1,40,lithiation,0.37555634287446826,0.38518605476347706,0.38037119881897263,4.41548e-05,1799.9799999999814,9000.0,0.022077154695555327,-30.957430600000002,45.5345363,-12.252613973047985,-0.4242818215460605,-0.00028879848536059725,2.9097992984672e-06,0.849951994599795,-0.04317224151826815,6,0.014444567833513194,1.073993800000006,0.0022464319849470867,1.37e-05,10610814.517796574,1.7688557243669114e-17,1.7688557243669114e-13,0.020151070355053903,3.5644336149657464e-15,2.037348850353732e-13,2.037348850353732e-09,107.32144057945861,False,sqrt(t) fit weak (R2=0.850)
1,41,lithiation,0.38518605476347706,0.39481574484350496,0.390000899803491,4.41547e-05,1799.9799999999814,9000.0,0.02207710469611088,-29.534995499999994,44.098049399999994,-11.728936625144415,-0.41886002392098526,-0.00027645522332484873,2.8583329738377527e-06,0.8432425671120665,-0.042620650121642074,6,0.014444535120041846,1.045092999999997,0.0022464319849470867,1.37e-05,9976530.24133914,1.881315401844625e-17,1.8813154018446252e-13,0.02067845157317985,3.890268943092147e-15,2.0852711937197643e-13,2.0852711937197645e-09,105.2811127383184,False,sqrt(t) fit weak (R2=0.843)
1,42,lithiation,0.39481574484350496,0.4044453694965902,0.3996305571700476,4.41544e-05,1799.9799999999814,9000.0,0.022076954697777547,-28.753749999999993,42.23311689999999,-11.823820592899027,-0.42566766103528725,-0.0002786916723171056,2.626792870648401e-06,0.8661825667990759,-0.04331364818190013,6,0.014444436979627884,1.076221500000002,0.0022464319849470867,1.37e-05,9816901.174817793,1.9119067886866406e-17,1.9119067886866405e-13,0.018850888860859394,3.604114238585445e-15,1.8820522237517596e-13,1.8820522237517597e-09,99.21617441475999,False,sqrt(t) fit weak (R2=0.866)
1,43,lithiation,0.4044453694965902,0.41407501595865637,0.40926019272762326,4.41545e-05,1799.9799999999814,9000.0,0.022077004697221993,-28.89013289999999,41.9432968,-12.214120764653082,-0.4440369417462639,-0.0002878911866971797,2.5474769597832913e-06,0.8801543654608175,-0.04518270490572533,6,0.014444469693099232,1.1266246000000009,0.0022464319849470867,1.37e-05,9626896.087420484,1.949641902183358e-17,1.949641902183358e-13,0.01769749875992468,3.4503785146187172e-15,1.7395694488663934e-13,1.7395694488663933e-09,94.45902549245028,False,sqrt(t) fit weak (R2=0.880)
1,44,lithiation,0.41407501595865637,0.4237046624207225,0.4188898391896895,4.41545e-05,1799.9799999999814,9000.0,0.022077004697221993,-28.6106988,42.23757230000001,-12.707797698558963,-0.470727572398724,-0.00029952732826526464,2.5215235257904025e-06,0.8902814521215098,-0.047898593551780666,6,0.014444469693099232,1.1117979999999972,0.0022464319849470867,1.37e-05,9272596.900582895,2.0241363019695313e-17,2.0241363019695313e-13,0.016836684254448488,3.4079743804228e-15,1.6296651387089643e-13,1.6296651387089643e-09,89.7282733721474,False,sqrt(t) fit weak (R2=0.890)
1,45,lithiation,0.4237046624207225,0.4333343306917696,0.42851949655624605,4.41546e-05,1799.9799999999814,9000.0,0.02207705469666644,-29.2073786,42.559236299999995,-13.20357391137206,-0.5337689734549508,-0.00031121295058660656,2.494702485611163e-06,0.8994881585430031,-0.054313209393942866,6,0.01444450240657058,1.2459531000000024,0.0022464319849470867,1.37e-05,7785319.147718427,2.4108196008252864e-17,2.4108196008252865e-13,0.016032125147162984,3.86505615476645e-15,1.5326596166985146e-13,1.5326596166985145e-09,79.73343977737201,False,sqrt(t) fit weak (R2=0.899)
