branch,SOC,n_pulses,Ds_app_m2_s,Ds_app_cm2_s,Ds_app_cm2_s_p25,Ds_app_cm2_s_p75,Ds_app_rel_uncertainty_median,Ds_app_cm2_s_uncertainty,SOC_lo,SOC_hi
lithiation,0.54,10,2.902752341945692e-17,2.902752341945692e-13,2.8315142672202143e-13,3.301033292429978e-13,0.0031372273353093864,1.032391190960139e-15,0.5308127451945925,0.547886869898464
lithiation,0.56,4,6.304796120996003e-17,6.304796120996003e-13,4.652324743225392e-13,7.499493485551989e-13,0.006828915443924803,4.73874719768085e-15,0.5510338954578267,0.563334895968866
lithiation,0.62,4,2.5322093875720894e-16,2.5322093875720893e-12,2.005836575192382e-12,3.2309961729124616e-12,0.015616921367966989,3.942958846207187e-14,0.6123390068196803,0.6279014270327985
lithiation,0.64,8,5.2574968004035147e-17,5.257496800403514e-13,3.3257316511997304e-13,7.113598801461758e-13,0.014479896364013752,7.51478304840475e-15,0.6319190231765646,0.6484161983700778
lithiation,0.66,10,5.222924098175511e-18,5.2229240981755105e-14,4.180783666936808e-14,8.955796837520693e-14,0.01244637219352705,6.383251506134827e-16,0.6521403108308772,0.6692613014728354
lithiation,0.68,10,3.4210749580724005e-18,3.4210749580724005e-14,2.5712648976659478e-14,3.870950917731541e-14,0.01094952618434268,3.5614891187009454e-16,0.6723616671807293,0.6886275267728723
lithiation,0.7000000000000001,10,4.906988308605249e-18,4.906988308605249e-14,3.648454813754053e-14,6.661286477054144e-14,0.009421109305833373,4.730802136518531e-16,0.6925831036753772,0.7087331283634737
lithiation,0.72,10,1.0262839954059181e-17,1.026283995405918e-13,7.893588186281774e-14,1.3175387124657127e-13,0.007813274919862712,8.533731998323603e-16,0.7128044485759728,0.7288386388838262
lithiation,0.74,10,1.8250102300028223e-17,1.8250102300028223e-13,1.4022519910573241e-13,2.264809918901109e-13,0.0062594120389283464,1.183576052790501e-15,0.7330258965198773,0.7489441152528353
lithiation,0.76,10,2.77756926991026e-17,2.7775692699102597e-13,2.0642052855221318e-13,3.216996082402775e-13,0.004920587145749949,1.2736816952084456e-15,0.7532474017100645,0.7690496143894068
lithiation,0.78,10,3.587804923644962e-17,3.587804923644962e-13,2.891543567986977e-13,4.4404815191668416e-13,0.003846176363940107,1.4670479349616066e-15,0.773468952697278,0.7891550679908537
lithiation,0.8,10,6.243414616515932e-17,6.243414616515932e-13,4.907087886201456e-13,7.736543870424789e-13,0.002989460215819302,1.790761535949041e-15,0.7936904006411826,0.8092604532896142
lithiation,0.8200000000000001,10,9.018768086155304e-17,9.018768086155303e-13,6.96937730449596e-13,1.1142578934195766e-12,0.002020425534281565,1.7423461104652176e-15,0.8137064236789544,0.8293659182748422
lithiation,0.84,10,1.363145233517887e-16,1.363145233517887e-12,9.94694792146071e-13,1.6022013721840251e-12,0.0015278645913327756,2.025634506352439e-15,0.832965825647991,0.8494715312492246
lithiation,0.86,10,2.0824804580199518e-16,2.082480458019952e-12,1.543794887581864e-12,2.4864425947107664e-12,0.0019027479291162394,3.450041409023321e-15,0.8522252058080471,0.8695772352938558
lithiation,0.88,10,3.091668421211682e-16,3.0916684212116822e-12,2.250054449760812e-12,3.72021516221137e-12,0.0024970852568855597,7.014263299257082e-15,0.8714844878276888,0.8896827685817705
lithiation,0.9,10,4.192875674631322e-16,4.192875674631322e-12,2.794277101716731e-12,4.590647884607236e-12,0.0033385622879007083,1.2366044351566573e-14,0.8907437589428402,0.9097884384750583
lithiation,0.92,11,4.842473076210391e-16,4.842473076210391e-12,3.0057477055733278e-12,5.119061692389898e-12,0.004272164692290365,1.8232605542778948e-14,0.9100031063894247,0.9298941311359084
lithiation,0.9400000000000001,10,5.057693943348941e-16,5.05769394334894e-12,4.4368752859408704e-12,5.6439521649363806e-12,0.005959280023034948,2.9755561398226327e-14,0.9352412575516769,0.9499999148670071
lithiation,0.96,9,3.6745836666454774e-16,3.6745836666454774e-12,3.1525111018243994e-12,4.939194990215033e-12,0.007028999928518647,2.831237225609321e-14,0.9554628886836863,0.9694799531431559
lithiation,0.98,10,2.9799151189044576e-16,2.9799151189044577e-12,2.3040839843831187e-12,3.2845915433238038e-12,0.00669779858609688,1.970933305763315e-14,0.9701054709224839,0.9895727453846026
lithiation,1.0,6,2.36882393252758e-16,2.36882393252758e-12,2.2378556123936106e-12,2.474792513527483e-12,0.005639933060068451,1.3523259550744878e-14,0.9902110611293039,0.997618722225641
