dataset,cell,window,run_id,run_short,protocol,parameter_match_grade,parameter,delta,time_s,residual_mV,response_mV_per_unit,abs_current_A,progress_fraction,valid,response_rms_mV,cosine_alignment,projection_fraction
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7666.555837113799,268.6028202261359,1.3384959754947356,0.4997650980949402,0.7158174035559685,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7671.60266072024,268.83817898590354,1.3402602202594593,0.499945729970932,0.7162886196074684,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7677.649605785456,268.73679460951206,1.341546623833123,0.49994572997093184,0.7168532158365956,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7682.696078388431,268.75212868630393,1.3419599598263332,0.49976509809494035,0.71732439911531,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7687.727543821646,268.78655612587374,1.3432084148434775,0.499945729970932,0.7177941811920348,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7692.774484845271,268.8546093702788,1.3433769668802498,0.4997650980949402,0.7182654082066405,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7698.836769943577,269.046869596572,1.3445230302755462,0.499945729970932,0.7188314367168194,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7703.883349051586,269.1540803711745,1.3444990973277005,0.4997650980949402,0.719302629939785,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7708.946197520272,268.9394271229535,1.3453807616148339,0.499945729970932,0.7197753422140383,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7715.008676726607,269.1889273375816,1.3457813928241524,0.499945729970932,0.7203413888478581,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7720.071137605792,269.4820953058712,1.3465504252729854,0.500126302242279,0.7208140649333306,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7725.133374718145,269.3084783240174,1.3463070391317444,0.499945729970932,0.721286720125954,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7731.195383298342,291.189236580994,2.6964066795998054,1.000052809715271,0.7218527228179586,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7736.226604909818,292.0392459066492,2.7048229940285218,1.0002334117889404,0.7223224821293311,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7741.258439551791,230.12571429761763,-1.3510894076540492,0.5004490613923938,0.7227922986786482,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7747.320942828021,227.2402097878583,-1.3401984900740516,0.5002684593200684,0.7233583475598463,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7752.352185035746,248.37181332223767,5.13950326741508e-05,1.9243103452026844e-05,0.7238281087942666,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7757.414629694569,247.99088983513417,5.132331448720606e-05,1.9243103452026844e-05,0.7243007833652626,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7763.4926419944095,247.69584111630127,5.124734636652306e-05,1.9243103452026844e-05,0.7248682803059607,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7768.555014263093,269.4266371684222,1.331792820890021,0.499945729970932,0.7253409481179736,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7773.601986775073,269.76509306608153,1.3343426036749317,0.499945729970932,0.7258121780726103,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7778.648917638417,269.6975454987167,1.3363932556975655,0.499945729970932,0.7262834041385624,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7784.695786418801,269.833934666273,1.3384089834844737,0.499945729970932,0.7268479932450637,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7789.742464382816,269.8629996949107,1.339318730350092,0.4997650980949402,0.7273191956980997,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7794.789335642832,269.78785807530994,1.340498678822355,0.4997650980949402,0.7277904161989583,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7800.867403160082,432.22913674703676,10.654714487338124,3.9994311332702637,0.7283579182952417,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7805.929861763601,443.504272869796,10.875064739720441,3.9996116161346436,0.7288305941682377,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7810.976688688297,368.1463580427553,6.97876330970848,2.4998321533203125,0.7293018105295591,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7817.054799408052,369.03618865524913,7.0261403501270525,2.4994709491729736,0.7298693166596102,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7822.101649289874,369.7255885025079,7.062019099240979,2.4994709491729736,0.7303405351644118,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7827.1795318102195,370.16716499967026,7.093851785897609,2.4994709491729736,0.7308146511505864,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7833.242176267773,215.19688110955127,-2.8292148844810683,0.9998337030410767,0.7313807132137204,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7838.304643517818,209.08222996311477,-2.7774203396002672,0.9996531009674073,0.7318533898940325,True,2.99862487135529,0.6303439293527081,0.39733346927181185
