baseline,model,direction,bin_lo,bin_hi,n,mean_resid_mV,sd_resid_mV
D0A,SPM,discharge,0.3,0.4,1922,-6.384802160944511,0.2342316319100786
D0A,SPM,discharge,0.4,0.5,1921,-7.239431640836651,0.25374027625526885
D0A,SPM,discharge,0.5,0.6,1922,-8.190322314671748,0.25207980993207857
D0A,SPM,discharge,0.6,0.7,1922,-8.788640909349285,0.11543533287770155
D0A,SPM,discharge,0.7,0.8,1922,-9.0154588422105,0.0269715809045619
D0A,SPM,discharge,0.8,0.9,1922,-9.388611912885638,0.4438959581360183
D0A,SPM,discharge,0.9,1.0,1922,63.6358211900794,184.45705988297905
D0A,SPM,discharge,0.0,0.1,1924,0.8957626311171007,9.164857144462825
D0A,SPM,discharge,0.1,0.2,1925,-5.087258076150732,0.2624694204282449
D0A,SPM,discharge,0.2,0.3,1925,-6.045794698458084,0.2393126561694091
D0A,SPM,discharge,0.3,0.4,1925,-6.879294336193747,0.2699679699561222
D0A,SPM,discharge,0.4,0.5,1925,-7.81966615191452,0.30434823786678566
D0A,SPM,discharge,0.5,0.6,1925,-8.687879416016111,0.2021368648363018
D0A,SPM,discharge,0.6,0.7,1925,-9.2636460179362,0.12462181658098484
D0A,SPM,discharge,0.7,0.8,1925,-9.42799421759134,0.008886924254216602
D0A,SPM,discharge,0.8,0.9,1925,-9.902337517159614,0.524344851957093
D0A,SPM,discharge,0.9,1.0,1925,55.10158397756664,178.90328321258923
D0A,SPM,discharge,0.0,0.1,1925,1.365490779387414,9.51409950689784
D0A,SPM,discharge,0.1,0.2,1926,-5.150621896244343,0.30504904505045216
D0A,SPM,discharge,0.2,0.3,1926,-6.193217005769915,0.29328955480521773
D0A,SPM,discharge,0.3,0.4,1926,-7.175695564688645,0.27671179249722017
D0A,SPM,discharge,0.4,0.5,1926,-8.134912797880114,0.2637727203008446
D0A,SPM,discharge,0.5,0.6,1926,-8.896841681334925,0.18214522407953487
D0A,SPM,discharge,0.6,0.7,1926,-9.404875452161512,0.11127293259337655
D0A,SPM,discharge,0.7,0.8,1926,-9.674875426422606,0.050994123945008275
D0A,SPM,discharge,0.8,0.9,1926,-10.332968609353927,0.5714319331374339
D0A,SPM,discharge,0.9,1.0,1927,52.236600797791894,178.09482052526383
D0A,SPM,discharge,0.0,0.1,1926,1.3710196434312976,9.910665178057103
D0A,SPM,discharge,0.1,0.2,1926,-5.51445334935089,0.30681035089475545
D0A,SPM,discharge,0.2,0.3,1926,-6.513674099565814,0.30239036786630713
D0A,SPM,discharge,0.3,0.4,1926,-7.552368408171738,0.3323414447465075
D0A,SPM,discharge,0.4,0.5,1926,-8.485479021436978,0.22665375493596668
D0A,SPM,discharge,0.5,0.6,1927,-9.211180737505728,0.1758725487992399
D0A,SPM,discharge,0.6,0.7,1926,-9.569282415724048,0.0862916149111482
D0A,SPM,discharge,0.7,0.8,1926,-9.745150412500388,0.028986954136396986
D0A,SPM,discharge,0.8,0.9,1926,-10.37080099105111,0.5618294132369791
D0A,SPM,discharge,0.9,1.0,1926,51.032164493360085,176.9703197189307
D0B,DFN,charge,0.0,0.1,1915,-27.291085397822606,53.94148440362465
