cycle,pulse_id,branch,step,SOC_start,SOC_end,I_A,pulse_time_s,relax_time_s,delta_V_pulse_V,delta_V_relax_V,capacity_increment_mAh,t_pulse_start_s,V_pulse_start_V,V_pulse_end_V,n_pulse_samples,n_relax_samples,relax_step,relax_coverage_s,V_relax_end_V,sqrt_t_slope_V_per_sqrt_s,sqrt_t_slope_stderr,sqrt_t_intercept_V,sqrt_t_r2,ir_skip_s,n_fit_samples
2,67,lithiation,4,0.6673062937454967,0.6774170406159621,4.41546e-05,1799.9799999999814,9000.0,-0.01179145270000001,0.015090756100000005,0.02207705469666644,2935037.651,0.0845842212,0.0727927685,1801,90811,3,8999.970000000205,0.0878835246,-0.00010215730366506829,6.067271710945339e-07,0.07678306957263636,0.9422046534278898,60.0,1741
2,68,lithiation,4,0.6774170406159621,0.6875277645879142,4.41545e-05,1799.9799999999814,9000.0,-0.012001961399999997,0.0154079944,0.022077004697221993,2945837.651,0.084449321,0.0724473596,1801,90811,3,8999.970000000205,0.087855354,-0.00010683418218236903,5.920513012491203e-07,0.07662984929745376,0.9493007398629588,60.0,1741
2,69,lithiation,4,0.6875277645879142,0.6976384427628403,4.41543e-05,1799.9799999999814,9000.0,-0.012210987500000006,0.0156288817,0.022076904698333105,2956637.651,0.084364824,0.0721538365,1801,90811,3,8999.970000000205,0.0877827182,-0.00010996052661159248,5.775489689261305e-07,0.07648044889516344,0.95422238261479,60.0,1741
2,70,lithiation,4,0.6976384427628403,0.7077490980392532,4.41542e-05,1799.9799999999814,9000.0,-0.012051619600000008,0.015491016199999999,0.02207685469888866,2967437.651,0.0842988491,0.0722472295,1801,90811,3,8999.970000000205,0.0877382457,-0.00011012474759545735,5.384779866458486e-07,0.07659947317875937,0.9600815419111958,60.0,1741
2,71,lithiation,4,0.7077490980392532,0.7178597991126925,4.41544e-05,1799.9799999999814,9000.0,-0.012104988100000005,0.015579216199999996,0.022076954697777547,2978237.651,0.0842039734,0.0720989853,1801,90811,3,8999.970000000205,0.0876782015,-0.00011374697323918639,4.971167308592992e-07,0.07664859843867254,0.9678525992348038,60.0,1741
2,72,lithiation,4,0.7178597991126925,0.7279705230846446,4.41545e-05,1799.9799999999814,9000.0,-0.0122576878,0.015851251799999994,0.022077004697221993,2989037.651,0.0840846375,0.0718269497,1801,90811,3,8999.970000000205,0.0876782015,-0.00011773433569667175,4.717306193647792e-07,0.07657545777222358,0.9728404201991311,60.0,1741
2,73,lithiation,4,0.7279705230846446,0.73808126995511,4.41546e-05,1799.9799999999814,9000.0,-0.0124689266,0.0161677524,0.02207705469666644,2999837.651,0.0839675218,0.0714985952,1801,90811,3,8999.970000000205,0.0876663476,-0.00012234054196878205,4.357868731515131e-07,0.07645719054300883,0.9784112008408808,60.0,1741
2,74,lithiation,4,0.73808126995511,0.7481920168255753,4.41546e-05,1799.9799999999814,9000.0,-0.012805446999999998,0.016592480199999995,0.02207705469666644,3010637.651,0.0838259459,0.0710204989,1801,90811,3,8999.970000000205,0.0876129791,-0.00012907734523292546,4.0351365418898423e-07,0.07629394560894917,0.9832891988421656,60.0,1741
2,75,lithiation,4,0.7481920168255753,0.7583027865945537,4.41547e-05,1799.9799999999814,9000.0,-0.012978151500000007,0.01710243530000001,0.02207710469611088,3021437.651,0.0834034458,0.0704252943,1801,90811,3,8999.970000000205,0.0875277296,-0.00013504496216002908,3.8564413162602554e-07,0.07593718804013201,0.9860169902803317,60.0,1741
2,76,lithiation,4,0.7583027865945537,0.7684135792620453,4.41548e-05,1799.9799999999814,9000.0,-0.013282798200000001,0.017569407800000006,0.022077154695555327,3032237.651,0.0831803381,0.0698975399,1801,90811,3,8999.970000000205,0.0874669477,-0.00013908543232328394,3.710213907764098e-07,0.07561374588682651,0.9877765749695019,60.0,1741
