branch,SOC,n_pulses,n_valid,valid_fraction,Ds_median_m2_s,Ds_p05_m2_s,Ds_p95_m2_s,Ds_decades_spanned,WH_fit_R2_median,OCP_slope_median_V_per_soc,Fo_pulse_median
delithiation,0.4,10,10,1.0,2.5292279173847544e-15,1.2905605986082643e-15,2.9524603527315956e-15,0.35940567260960554,0.9623803229142258,-0.18441322430801174,0.024255739073660514
delithiation,0.42,10,8,0.8,2.566498262710044e-15,1.1781417178342797e-15,3.110745094246606e-15,0.4216668903296837,0.9301140251530102,-0.1512462990009361,0.0246131682184132
delithiation,0.44,10,2,0.2,1.1958859012438165e-15,1.1830806295016312e-15,1.208691172986002e-15,0.009301006743679858,0.9178285554604442,-0.11679875253912039,0.011468755418620188
delithiation,0.46,10,0,0.0,,,,,,,
delithiation,0.48,10,0,0.0,,,,,,,
delithiation,0.5,10,0,0.0,,,,,,,
delithiation,0.52,10,0,0.0,,,,,,,
delithiation,0.54,9,3,0.3333333333333333,7.32217320854287e-17,2.532542329629318e-17,1.0064960430698883e-16,0.5992553588324642,0.9124671229352528,-0.0327522616334005,0.0007022092456665923
delithiation,0.56,10,8,0.8,4.445118591936652e-18,3.3677574482158613e-18,2.3366760275329677e-17,0.8412576977551549,0.9905242468773592,-0.0365083872459802,4.262946647725571e-05
delithiation,0.58,9,9,1.0,5.244087142546646e-18,3.658949689024356e-18,1.6658837915539574e-17,0.658288264755752,0.9964087142837312,-0.0494265657005108,5.029171492802502e-05
delithiation,0.6,11,11,1.0,1.2226464503793353e-17,8.404586131195836e-18,2.1378410826903308e-17,0.40545908636349043,0.9978358646829246,-0.0770486199167239,0.0001172539377566079
delithiation,0.62,10,10,1.0,4.462842359301509e-17,2.832241694284415e-17,7.098964248104472e-17,0.39906467710399446,0.9989397750517977,-0.1168210819339202,0.0004279944051306055
delithiation,0.64,10,10,1.0,1.684337668531047e-16,1.0173105706098594e-16,2.8427537867732515e-16,0.44628568955722603,0.9975585340952152,-0.177959638232107,0.0016153093487148332
delithiation,0.66,10,10,1.0,4.473952436087204e-16,2.794176163422513e-16,7.257133399055961e-16,0.4145113228123307,0.9912340501867224,-0.2375547685396738,0.004290598809691046
delithiation,0.68,10,10,1.0,7.434039552168228e-16,5.133279960585904e-16,1.2160787833880435e-15,0.3745667609092811,0.9832224970603229,-0.25571530624908656,0.007129374241096151
delithiation,0.7000000000000001,10,10,1.0,8.695963019020546e-16,5.685496357196519e-16,1.369054371878058e-15,0.3816523108369292,0.9708146416666144,-0.22478333335728015,0.008339580965944105
delithiation,0.72,10,10,1.0,8.323204771327529e-16,5.104332623728266e-16,1.2460163053994679e-15,0.3875847581223642,0.9556237410044043,-0.17671598054786436,0.007982099272362857
delithiation,0.74,10,10,1.0,6.149644153595639e-16,3.937329242950048e-16,1.0246282808634303e-15,0.41536460631239625,0.9367995163120657,-0.1285471569017648,0.005897616539821956
delithiation,0.76,10,10,1.0,4.758978421351172e-16,3.179575404087708e-16,7.658986751333964e-16,0.38180218947560035,0.9192523029784154,-0.09524993784303551,0.004563943725752428
delithiation,0.78,10,8,0.8,3.656112900043894e-16,2.7989050906922376e-16,5.534547385064284e-16,0.2960939380590038,0.9113169352861938,-0.0762028900395746,0.0035062763587951646
delithiation,0.8,10,6,0.6,2.88687275450321e-16,2.401519906448567e-16,3.799287756577724e-16,0.19921599719359165,0.9046699956498077,-0.05062497002443535,0.002768561575284767
delithiation,0.8200000000000001,10,1,0.1,1.8218279903662334e-16,1.8218279903662334e-16,1.8218279903662334e-16,,0.902874964778552,-0.0385988182905443,0.0017471649774096797
delithiation,0.84,10,2,0.2,8.855665066362688e-17,7.334745557736627e-17,1.037658457498875e-16,0.15066937739885164,0.9009696368360303,-0.02406326925585215,0.0008492738028747122
delithiation,0.86,11,4,0.36363636363636365,2.0329006509616123e-17,1.810043027746429e-17,4.369232590728866e-17,0.3827162655608991,0.9075781584623421,-0.009796811795624,0.00019495873587931122
