cycle,pulse_id,branch,SOC_start,SOC_end,SOC_mid,I_A,pulse_time_s,relax_time_s,capacity_increment_mAh,delta_V_pulse_mV,delta_V_relax_mV,quad_sqrt_t_slope_V_per_sqrt_s,quad_sqrt_t_slope_stderr,quad_t_slope_V_per_s,quad_r2,linear_sqrt_t_slope_V_per_sqrt_s,linear_sqrt_t_r2,slope_ratio_linear_over_quad,Ds_ratio_vs_linear,dUdt_expected_V_per_s,t_slope_over_expected_drift,u_prime_V_per_soc,u_prime_knots,u_prime_halfwidth_soc,u_prime_window_curvature_mV,Q_th_Ah,R_m,tau_d_s,Ds_app_m2_s,Ds_app_cm2_s,Ds_app_rel_uncertainty,Ds_app_cm2_s_uncertainty,Ds_app_relax_m2_s,Ds_app_relax_cm2_s,relax_over_pulse_sqrt_ratio,accepted,flags
1,11,lithiation,0.09629687899129917,0.10592652545336549,0.10111170222233233,4.41545e-05,1799.9800000000105,9000.0,0.02207700469722235,-67.36695019999998,82.1435675,-0.0030955694960939535,7.246061944071953e-06,3.913137792458257e-05,0.9977418666958835,-0.0009840227805532355,0.8843383223794228,0.31788101730388985,0.10104834116215591,-6.277968800916464e-06,-6.2331271730547835,-1.1498467357475035,8,0.014444469693099482,26.775240899999996,0.0022464319849470867,1.37e-05,1718601.5593766342,1.0921088659321263e-16,1.0921088659321263e-12,0.0046815695484886816,5.11278361038235e-15,5.770844714145844e-15,5.770844714145844e-11,7.269201837353549,True,
1,12,lithiation,0.10592652545336549,0.11555619372441268,0.11074135958888909,4.41546e-05,1799.9800000000105,9000.0,0.022077054696666792,-67.14900589999999,81.345968,-0.002916015379690677,7.020195097976132e-06,3.608769379223596e-05,0.9977819506531325,-0.0009687072259809838,0.8968515600905259,0.3322023720203223,0.11035841597592863,-4.911286809184465e-06,-7.347910068039467,-0.8995288914731993,8,0.014444502406570789,22.2864971,0.0022464319849470867,1.37e-05,2491847.256104981,7.53216311875308e-17,7.53216311875308e-13,0.00481492323179778,3.626678718617462e-15,6.37772555718183e-15,6.377725557181831e-11,9.201805624773288,True,
1,13,lithiation,0.11555619372441268,0.12518581837749812,0.12037100605095541,4.41544e-05,1799.9800000000105,9000.0,0.022076954697777904,-65.4968097,80.12885600000001,-0.0027701278660917125,7.059398949088824e-06,3.362761821340989e-05,0.9976698832268206,-0.0009555664947331473,0.9066229534277237,0.3449539302607451,0.11899321400233501,-3.2001673776619025e-06,-10.508081061053378,-0.5861307157544929,8,0.014444436979628154,13.636641199999994,0.0022464319849470867,1.37e-05,5296471.449042824,3.543680010470352e-17,3.543680010470352e-13,0.005096803678632143,1.8061441313260482e-15,6.857276111438369e-15,6.857276111438369e-11,13.910686687800426,True,
1,14,lithiation,0.12518581837749812,0.1348154866485453,0.13000065251302173,4.41546e-05,1799.9800000000105,9000.0,0.022077054696666792,-64.86601379999999,79.4884339,-0.0026623955083369456,6.991305764236864e-06,3.155514091870176e-05,0.9977074519207275,-0.0009596659419586071,0.9172858049615406,0.3604520586642886,0.12992568659532375,-2.3116895962090653e-06,-13.650250003481855,-0.42339852276991424,7,0.014444502406570789,10.046981299999993,0.0022464319849470867,1.37e-05,9376019.409918714,2.0018089958457878e-17,2.0018089958457878e-13,0.005251891195237145,1.0513283039829003e-15,7.305267469447868e-15,7.305267469447868e-11,19.10322726838906,True,
1,15,lithiation,0.1348154866485453,0.1444451549195925,0.1396303207840689,4.41546e-05,1799.9800000000105,9000.0,0.022077054696666792,-65.3188899,77.9889002,-0.002566887199698133,6.9290987983970665e-06,2.999962452828931e-05,0.9976789885436436,-0.0009480939958849141,0.9227609721392508,0.3693555353723414,0.13642351151018894,-1.8419243571930124e-06,-16.287109951685,-0.33735846420226534,7,0.014444502406570789,7.867857800000003,0.0022464319849470867,1.37e-05,13727845.333414905,1.3672211147596801e-17,1.36722111475968e-13,0.0053988338865937945,7.381399684831103e-16,7.565286990300027e-15,7.565286990300027e-11,23.52303341170844,True,
1,16,lithiation,0.1444451549195925,0.1540748231906397,0.14925998905511612,4.41546e-05,1799.9800000000105,9000.0,0.022077054696666792,-63.399039200000004,75.0758275,-0.002436084506464081,6.822151672463887e-06,2.798775723496107e-05,0.9976252441639746,-0.0009258525647538909,0.9288007110347418,0.3800576549365046,0.14444382107583523,-1.5883178385297658e-06,-17.621005415936192,-0.29090905094932434,6,0.014444502406570789,6.702691300000008,0.0022464319849470867,1.37e-05,16628086.041645242,1.1287528794951392e-17,1.1287528794951392e-13,0.005600915448016275,6.322049439757178e-16,7.783751108182325e-15,7.783751108182325e-11,26.260018920612847,True,
1,17,lithiation,0.1540748231906397,0.163704469652706,0.15888964642167286,4.41545e-05,1799.9800000000105,9000.0,0.02207700469722235,-60.251749999999994,71.02865720000001,-0.0022897396922854267,6.6788139581000205e-06,2.623931565367002e-05,0.9974431778136739,-0.0008738544430277069,0.9294856303519372,0.3816392081474984,0.14564848519544962,-1.5520780462573582e-06,-16.905925392697128,-0.2842721796982905,6,0.01444446969309944,7.065132299999998,0.0022464319849470867,1.37e-05,15384291.63632894,1.2200106734637234e-17,1.2200106734637234e-13,0.0058336884149776756,7.117162131934435e-16,7.886210549264098e-15,7.886210549264098e-11,25.42449695724942,True,
1,18,lithiation,0.163704469652706,0.1733341161147723,0.16851929288373915,4.41545e-05,1799.9800000000105,9000.0,0.02207700469722235,-58.074764900000005,66.7717382,-0.0021327493156307153,6.517576616184619e-06,2.443314790875954e-05,0.9971965431595983,-0.0008143256885227422,0.9293525678515785,0.3818196928043194,0.14578627781318482,-1.591191398799181e-06,-15.355253885358119,-0.29143601917735745,7,0.014444469693099482,7.403865400000001,0.0022464319849470867,1.37e-05,12698931.14081993,1.4779984072571436e-17,1.4779984072571436e-13,0.006111901261360559,9.033380329603833e-16,8.033025131192729e-15,8.033025131192729e-11,23.31323705929347,True,
1,19,lithiation,0.1733341161147723,0.18296374076785774,0.17814892844131502,4.41544e-05,1799.9800000000105,9000.0,0.022076954697777904,-54.312229200000004,63.40727209999999,-0.0019874046349717457,6.616224402543737e-06,2.3003368670417e-05,0.9965739866778761,-0.0007461325372705057,0.9252587498657485,0.3754306114321371,0.14094814400030828,-1.6392446798436714e-06,-14.032907322054413,-0.3002379388654044,7,0.014444436979628134,7.681816799999991,0.0022464319849470867,1.37e-05,10390044.839055065,1.8064407123104356e-17,1.8064407123104356e-13,0.006658155351074542,1.2027562895068632e-15,8.342167900467067e-15,8.342167900467068e-11,21.489564137795572,True,
1,20,lithiation,0.18296374076785774,0.19259340903890493,0.18777857490338135,4.41546e-05,1799.9800000000105,9000.0,0.022077054696666792,-51.0159433,60.57128310000001,-0.0018393819314485294,6.706453939891741e-06,2.146060832075527e-05,0.9957952489522082,-0.0006813575545101363,0.921652352422835,0.3704274478620986,0.13721649412962778,-1.688917412853501e-06,-12.706724531009849,-0.3093344101453864,7,0.014444502406570789,7.891565500000003,0.0022464319849470867,1.37e-05,8384156.883725395,2.2386270033225125e-17,2.2386270033225126e-13,0.007292073304874045,1.6324232210498274e-15,8.887162053352377e-15,8.887162053352377e-11,19.92464905518492,True,
