cycle,pulse_id,branch,step,SOC_start,SOC_end,I_A,pulse_time_s,relax_time_s,delta_V_pulse_V,delta_V_relax_V,capacity_increment_mAh,t_pulse_start_s,V_pulse_start_V,V_pulse_end_V,n_pulse_samples,n_relax_samples,relax_step,relax_coverage_s,V_relax_end_V,sqrt_t_slope_V_per_sqrt_s,sqrt_t_slope_stderr,sqrt_t_intercept_V,sqrt_t_r2,n_fit_samples,quad_sqrt_t_slope_V_per_sqrt_s,quad_sqrt_t_slope_stderr,quad_t_slope_V_per_s,quad_intercept_V,quad_r2,quad_n_fit_samples,sqrt_t_slope_excess_over_quad,ir_skip_s
3,173,delithiation,10,0.27620637968743433,0.26615361304347185,-4.41539e-05,1799.980000000447,9000.0,0.011271029799999999,-0.010076940099999987,0.022076704700561035,6243417.125,0.151253581,0.1625246108,1801,90811,9,8999.97000000067,0.1524476707,0.00015779774018683584,2.851376710526222e-07,0.15575966032493413,0.9943539047195664,1741,0.00019726371800650677,1.4426642763805882e-06,-7.31387130511069e-07,0.1552922102898241,0.9960861215721195,1741,-3.946597781967094e-05,60.0
3,174,delithiation,10,0.26615361304347185,0.25610084639950925,-4.41539e-05,1799.980000000447,9000.0,0.011746913199999987,-0.009536564400000003,0.022076704700561035,6254217.125,0.1546276212,0.1663745344,1801,90811,9,8999.97000000067,0.15683797,0.00017684187699455858,2.235615650010333e-07,0.15878818093324612,0.997228478162193,1741,0.00019873526197933754,1.2498845750735654e-06,-4.057302240041756e-07,0.15852886736380714,0.9976541425999221,1741,-2.1893384984778962e-05,60.0
3,175,delithiation,10,0.25610084639950925,0.24604803422042232,-4.41541e-05,1799.980000000447,9000.0,0.011436373,-0.009260058399999993,0.022076804699449927,6265017.125,0.1590267718,0.1704631448,1801,90811,9,8999.97000000067,0.1612030864,0.00016940293356049437,2.475662975468356e-07,0.16323736630483116,0.9962997523271268,1741,0.0002002019326835093,1.3047333885019538e-06,-5.707698842388562e-07,0.16287257125813703,0.9972168983258061,1741,-3.079899912301494e-05,60.0
3,176,delithiation,10,0.24604803422042232,0.23599524480889755,-4.4154e-05,1799.980000000447,9000.0,0.010992377999999997,-0.009466052000000003,0.02207675470000548,6275817.125,0.1634007394,0.1743931174,1801,90811,9,8999.97000000067,0.1649270654,0.00015229394201235033,2.919714707686941e-07,0.16782282249405694,0.9936489121197334,1741,0.00016899698232746902,1.7271553086914923e-06,-3.0954227924450973e-07,0.16762498533878825,0.993981783045323,1741,-1.6703040315118695e-05,60.0
3,177,delithiation,10,0.23599524480889755,0.22594243262981073,-4.41541e-05,1799.980000000447,9000.0,0.011651307299999997,-0.009815871700000006,0.022076804699449927,6286617.125,0.1671750546,0.1788263619,1801,90811,9,8999.97000000067,0.1690104902,0.00017092504431944598,3.1846376152660503e-07,0.17134402396355125,0.9939994045989485,1741,0.0001567590809403193,1.9043592363738406e-06,2.6252493614264406e-07,0.17151181101571097,0.9941895492230768,1741,1.4165963379126674e-05,60.0
3,178,delithiation,10,0.22594243262981073,0.21588964321828596,-4.4154e-05,1799.980000000447,9000.0,0.0132998228,-0.009812861700000008,0.02207675470000548,6297417.125,0.1711724699,0.1844722927,1801,90811,9,8999.97000000067,0.174659431,0.0002185372746330497,3.768834257221315e-07,0.17485768556945738,0.9948545636447357,1741,0.00016218218913535422,1.8349807303737613e-06,1.0443776272288716e-06,0.17552517661237219,0.9966969973793851,1741,5.63550854976955e-05,60.0
3,179,delithiation,10,0.21588964321828596,0.20583683103919903,-4.41541e-05,1799.980000000447,9000.0,0.014666616900000012,-0.009551078099999999,0.022076804699449927,6308217.125,0.1768458188,0.1915124357,1801,90811,9,8999.97000000067,0.1819613576,0.0002617121761085252,4.5721744049335804e-07,0.1800137317062062,0.9947204325820355,1741,0.00016800091424106284,1.5894317118789734e-06,1.7366657232532363e-06,0.18112368349430083,0.9982722763412293,1741,9.371126186746238e-05,60.0
3,180,delithiation,10,0.20583683103919903,0.19578404162767438,-4.4154e-05,1799.980000000447,9000.0,0.014278233000000001,-0.00946354869999999,0.02207675470000548,6319017.125,0.1842039526,0.1984821856,1801,90811,9,8999.97000000067,0.1890186369,0.00024885315702544457,2.600130458154581e-07,0.18771326288733278,0.9981051281809481,1741,0.0002069766526395783,1.208106146055095e-06,7.760592305240482e-07,0.18820926411488656,0.9988922608210552,1741,4.187650438586626e-05,60.0
3,181,delithiation,10,0.19578404162767438,0.18573127498371178,-4.41539e-05,1799.980000000447,9000.0,0.013514757099999997,-0.009923040899999985,0.022076704700561035,6329817.125,0.1912337542,0.2047485113,1801,90811,9,8999.97000000067,0.1948254704,0.00021724182844028145,4.380074886533155e-07,0.19517021941310259,0.9929803347483139,1741,0.00014588391741579592,2.018264947911791e-06,1.3224113696655217e-06,0.19601540962138678,0.9959640344042712,1741,7.135791102448553e-05,60.0
3,182,delithiation,10,0.18573127498371178,0.17567846280462485,-4.41541e-05,1799.980000000447,9000.0,0.015451610099999985,-0.010082334299999995,0.022076804699449927,6340617.125,0.1969841719,0.212435782,1801,90811,9,8999.97000000067,0.2023534477,0.00026990136572124947,6.99924321728356e-07,0.20035342547498936,0.9884404192209888,1741,0.00012470357393999182,2.371284593599431e-06,2.690818830665461e-06,0.20207320328401346,0.9964071007217279,1741,0.00014519779178125765,60.0
