dataset,cell,window,run_id,run_short,protocol,parameter_match_grade,kind,parameter,vector_rms_mV,vector_bias_mV,vector_centered_rms_mV,high_current_rms_mV,high_current_ratio,high_transition_rms_mV,high_transition_ratio,late_progress_rms_mV,late_progress_ratio,n_points
calce_cs2,33,C0p5,calce_cs2/33/C0p5,CS2 33 0p5C,CC,B,residual,,200.36521775876244,176.636578432364,94.58192029782234,208.80669445275709,1.0421304495282115,240.9494506164762,1.2025512876520152,326.2617838157091,1.6283354339899692,760
calce_cs2,33,C0p5,calce_cs2/33/C0p5,CS2 33 0p5C,CC,B,response,Dsn,0.06012961074144867,0.057594582622738054,0.01727524646512285,0.05674487729350455,0.943709373697792,0.06204101414329148,1.031788055473395,0.03499668020269478,0.5820207343961865,760
calce_cs2,33,C0p5,calce_cs2/33/C0p5,CS2 33 0p5C,CC,B,response,Dsp,1.445311405696585,1.32400117139361,0.5796084519613109,1.2904466166375308,0.8928502269831495,1.5586130640832088,1.0783925581297247,0.7496088606061884,0.5186486854332305,760
calce_cs2,33,C0p5,calce_cs2/33/C0p5,CS2 33 0p5C,CC,B,response,j0n,1.7125674860093598,1.7026131916703393,0.18437926588030074,1.6642339244789712,0.9717771346675418,1.7406816112670573,1.0164163605156427,1.6117241423252222,0.9411156964569474,760
calce_cs2,33,C0p5,calce_cs2/33/C0p5,CS2 33 0p5C,CC,B,response,j0p,2.0210118191238498,2.019884445235966,0.06749519191829086,2.027804043279699,1.003360803777384,2.0198363975619347,0.999418399461699,2.136323938041238,1.0570566276882924,760
calce_cs2,33,C0p5,calce_cs2/33/C0p5,CS2 33 0p5C,CC,B,response,De,5.293952535705364,5.268499144321575,0.5185076822806657,5.329858324459388,1.006782416070385,5.247463191862492,0.9912184056186145,5.358020449433117,1.0121020944739576,760
calce_cs2,33,C0p5,calce_cs2/33/C0p5,CS2 33 0p5C,CC,B,response,kappa_e,8.552866292979582,8.552866110180366,0.0017683083598188844,8.554525279697938,1.0001939685085124,8.552619921792742,0.999971194313298,8.553051208170194,1.000021620259721,760
calce_cs2,33,C0p5,calce_cs2/33/C0p5,CS2 33 0p5C,CC,B,response,Rn,1.7569245306632888,-1.745142611160839,0.20312821851516719,1.7041157563262677,0.9699424913162978,1.7877781676315057,1.0175611623776286,1.614477394222368,0.9189224500228573,760
calce_cs2,33,C0p5,calce_cs2/33/C0p5,CS2 33 0p5C,CC,B,response,Rp,4.607327906729853,-4.4814224619435485,1.0697304135713392,4.339291902666097,0.9418239792153191,4.804882334084277,1.042878308501954,3.488178604542701,0.75709362892265,760
calce_cs2,33,C0p5,calce_cs2/33/C0p5,CS2 33 0p5C,CC,B,response,brug_e,49.8246276099484,-49.782922610829594,2.038168980772666,50.041424024515955,1.0043511898626667,49.608648560864715,0.9956652149861616,50.182182306969096,1.0071762643128979,760
chen2020,02,C0p5,chen2020/02/C0p5,Chen2020 C2,CC,A,residual,,123.88059325590942,93.49016319896074,81.27724632680267,132.1820493070402,1.06701175569915,249.9958904196669,2.018039176670971,202.0968521045223,1.6313842773341882,284
chen2020,02,C0p5,chen2020/02/C0p5,Chen2020 C2,CC,A,response,Dsn,23.01178338088808,11.8921831259418,19.70071457759799,24.951689512472015,1.0843005559141097,50.694255406225956,2.2029694338392276,40.48445757928644,1.7592924854711565,284
