variant,time_s,soc_experiment,soc_model_average,soc_model_surface,voltage_sim_V,voltage_exp_V
B0p5_capmatch,114940.02100000001,0.7113080989696048,0.7120951382444879,0.7204386505481131,0.050285680944670445,0.0509104617
B0p5_capmatch,115020.02100000001,0.7118031785046057,0.7125902217629613,0.7209352401103167,0.05029406584904861,0.0508667342
B0p5_capmatch,115100.02100000001,0.7122982598986413,0.7130853081253434,0.7214318584018088,0.05026335939062164,0.0509030558
B0p5_capmatch,115180.02100000001,0.7127933422936952,0.7135803997800625,0.7219284678914475,0.050260252881640044,0.0508845262
B0p5_capmatch,115260.02100000001,0.713288417824622,0.7140754809672305,0.7224249966855221,0.050246363712944095,0.0508489497
B0p5_capmatch,115340.02100000001,0.7137834966446096,0.7145705555900483,0.7229215151305832,0.050226783341700436,0.0508393086
B0p5_capmatch,115430.02100000001,0.7143404663678953,0.7151275125141794,0.723480093464683,0.05022807609902055,0.0508267097
B0p5_capmatch,115510.02100000001,0.7148355444728698,0.715622587265748,0.7239766289430656,0.05022257829891011,0.050838571
B0p5_capmatch,115590.02100000001,0.7153306266534197,0.7161176706190358,0.724473200125467,0.05021177070171787,0.0508356057
B0p5_capmatch,115670.02100000001,0.7158257068319327,0.7166127488808174,0.7249696984123823,0.05019741355514053,0.0508155935
B0p5_capmatch,115750.02100000001,0.7163207875824561,0.7171078183341144,0.7254661671140608,0.05019129356042437,0.0508052148
B0p5_capmatch,115830.02100000001,0.7168158676179662,0.7176028996577725,0.7259627256339047,0.05020102031342621,0.0508445017
B0p5_capmatch,115910.02100000001,0.7173109480109832,0.7180979842755879,0.7264592423920417,0.05019994805236044,0.0508074425
B0p5_capmatch,115990.02100000001,0.7178060264019627,0.7185930599563989,0.726955706630342,0.050175051592695905,0.0507837199
B0p5_capmatch,116070.02100000001,0.7183011115855681,0.719088144669832,0.7274522430008138,0.050189071833951604,0.0508326404
B0p5_capmatch,116150.02100000001,0.71879620034424,0.7195832333558791,0.7279487492936304,0.05015592335597004,0.0508000292
B0p5_capmatch,116230.02100000001,0.7192912838118137,0.7200783129759192,0.7284451954366497,0.05017464508030283,0.0507829823
B0p5_capmatch,116310.02100000001,0.7197863666358756,0.7205733946357336,0.72894167286651,0.05016660554068842,0.0507933535
B0p5_capmatch,116400.02100000001,0.7203433314970713,0.7211303604586744,0.7295001751862334,0.0501423156660933,0.0507703759
B0p5_capmatch,116480.02100000001,0.7208384167521782,0.7216254409747271,0.7299966326533062,0.05013328346399889,0.0507837199
B0p5_capmatch,116560.02100000001,0.7213334972881974,0.7221205282252445,0.7304931112212971,0.05012518885227102,0.0507881679
B0p5_capmatch,116640.02100000001,0.721828574106148,0.7226156165332472,0.7309895709606795,0.050104159632837715,0.0507807545
B0p5_capmatch,116720.02100000001,0.7223236552141776,0.7231107013225418,0.7314859960541256,0.050094414745893295,0.0507607423
B0p5_capmatch,116800.02100000001,0.7228187371087225,0.7236057821727079,0.7319824018198566,0.050119860708839205,0.05074073
B0p5_capmatch,116880.02100000001,0.7233138165722219,0.7241008595474131,0.7324787896861118,0.05010839643372265,0.050731834
B0p5_capmatch,116960.02100000001,0.7238088987527718,0.7245959335333972,0.7329751650924408,0.05010307910260884,0.0507199802
B0p5_capmatch,117040.02100000001,0.7243039787167806,0.7250910093873735,0.7334715598017252,0.05010924631775297,0.0507177524
B0p5_capmatch,117120.02100000001,0.7247990600393147,0.7255860903677872,0.7339679721618593,0.05010181406985602,0.0507184975
B0p5_capmatch,117200.02100000001,0.7252941420053607,0.7260811729555884,0.7344643714596404,0.05007705329031005,0.0507251658
B0p5_capmatch,117280.02100000001,0.725789227117465,0.7265762496492417,0.7349607211022524,0.05007741329657749,0.0506844036
B0p5_capmatch,117370.02100000001,0.7263461954107241,0.7271332172740754,0.7355191762196137,0.050046906784432556,0.0507229455
B0p5_capmatch,117450.02100000001,0.7268412733726958,0.727628298325727,0.7360155235065589,0.05002951114731811,0.0506755076
B0p5_capmatch,117530.02100000001,0.7273363504766517,0.7281233695168524,0.7365118358542952,0.0500329080239142,0.050660681
B0p5_capmatch,117610.02100000001,0.72783142772361,0.7286184406643709,0.7370081586016607,0.050037585175708305,0.0506584607
B0p5_capmatch,117690.02100000001,0.7283265043270564,0.7291135207630458,0.7375045421552843,0.050021348046013804,0.0506895892
B0p5_capmatch,117770.02100000001,0.7288215823605297,0.72960860728931,0.738000916274363,0.04999427855050445,0.0506717972
B0p5_capmatch,117850.02100000001,0.7293166636830637,0.730103684488536,0.7384972130589222,0.0499886959411596,0.0506414138
B0p5_capmatch,117930.02100000001,0.7298117442905845,0.7305987550858543,0.738993495363961,0.050003073731422466,0.0506325178
B0p5_capmatch,118010.02100000001,0.7303068276866568,0.7310938334037442,0.7394898384409399,0.05000487725681335,0.0506584607
B0p5_capmatch,118090.02100000001,0.730801902860077,0.7315889117464929,0.7399861401632496,0.049981738016428315,0.0506184362
B0p5_capmatch,118170.02100000001,0.7312969807505472,0.7320839834878323,0.7404824124826499,0.049947403643231664,0.0506206565
