variant,time_s,soc_experiment,soc_model_average,soc_model_surface,voltage_sim_V,voltage_exp_V
B0p5_capmatch,90340.00399999999,0.4413007664233053,0.4400342568921275,0.4349691106030149,0.15492426119943184,0.1536885053
B0p5_capmatch,90420.00399999999,0.4408056851722728,0.4395391742571005,0.4344857496949316,0.15498901146582744,0.1537537277
B0p5_capmatch,90490.00399999999,0.44037248996244804,0.43910597852955147,0.43406283745541707,0.1550397202782779,0.1538004279
B0p5_capmatch,90570.00399999999,0.4398774115714683,0.43861090164857885,0.4335795291379425,0.15507854242081445,0.1538560092
B0p5_capmatch,90640.00399999999,0.4394442160041371,0.4381777134374557,0.43315665935659475,0.15514769950285265,0.1538864225
B0p5_capmatch,90710.00399999999,0.4390110221528375,0.4377445220433337,0.4327337598870391,0.1552099153660609,0.1539597958
B0p5_capmatch,90790.00399999999,0.4385159463359055,0.4372494406030548,0.4322504519101319,0.1552686193194476,0.1540220529
B0p5_capmatch,90860.00399999999,0.4380827501965636,0.436816241237082,0.43182755201346357,0.15530449858150522,0.1540843099
B0p5_capmatch,90940.00399999999,0.43758766694349394,0.43632115757570417,0.4313442796469251,0.15538094175970082,0.1541332304
B0p5_capmatch,91010.00399999999,0.43715446973163197,0.43588796479693936,0.43092143921283166,0.1554366369731016,0.1541865915
B0p5_capmatch,91090.00399999999,0.4366593916981589,0.4353928826926301,0.4304381669658152,0.15549573747444928,0.1542592347
B0p5_capmatch,91160.00399999999,0.4362261942717933,0.43495968649022765,0.43001533349480214,0.1555467950153468,0.1542822123
B0p5_capmatch,91230.00399999999,0.4357929997769818,0.4345264926749887,0.42959250649685926,0.1555903983188349,0.1543533653
B0p5_capmatch,91310.00399999999,0.4352979210284956,0.43403141642395393,0.4291093000566726,0.15564397114881645,0.1544007957
B0p5_capmatch,91380.00399999999,0.43486473068076104,0.4335982266129344,0.4286864959854881,0.15569797651049655,0.1544615775
B0p5_capmatch,91460.00399999999,0.43436965236128267,0.43310315029551,0.42820328965600163,0.1557653776869646,0.1545230895
B0p5_capmatch,91530.00399999999,0.4339364577949697,0.4326699559712608,0.4277804788407712,0.15582506534471774,0.1545860916
B0p5_capmatch,91610.00399999999,0.4334413788319794,0.4321748779954311,0.4272972958077775,0.155897704370322,0.1546253711
B0p5_capmatch,91680.00399999999,0.43300818047609657,0.4317416810900182,0.4268744848853946,0.1559549947863293,0.1547091305
B0p5_capmatch,91750.00399999999,0.4325749816197042,0.4313084798462872,0.4264516846715162,0.15601190611573978,0.154758051
B0p5_capmatch,91830.00399999999,0.4320798978661252,0.43081339668110297,0.42596851652780376,0.15608833400434174,0.1548173428
B0p5_capmatch,91900.00399999999,0.43164670580235887,0.430380201935111,0.42554576237801034,0.15613796453401269,0.1548625529
B0p5_capmatch,91980.00399999999,0.43115162419381947,0.4298851175117325,0.4250625836595249,0.15620090257588623,0.154944092
B0p5_capmatch,92050.00399999999,0.43071842776847236,0.42945191628497636,0.42463982034870495,0.1562598370556842,0.1549930125
B0p5_capmatch,92130.00399999999,0.43022334966349784,0.4289568360040639,0.424156700388641,0.15632903998352773,0.155050084
B0p5_capmatch,92200.00399999999,0.4297901535956572,0.4285236422070182,0.4237339685941368,0.15638427964548998,0.1551049352
B0p5_capmatch,92270.00399999999,0.42935695788532335,0.42809044589884465,0.4233112276576626,0.15644683182814695,0.1551745981
B0p5_capmatch,92350.00399999999,0.42886188492844424,0.42759536329737224,0.4228281049371488,0.15651302292886304,0.1552464962
B0p5_capmatch,92420.00399999999,0.42842869129164873,0.4271621644781796,0.42240537016532537,0.15656277971420665,0.155298382
B0p5_capmatch,92500.00399999999,0.4279336113991411,0.42666707786456465,0.42192224993337024,0.15665542136874555,0.1553732306
B0p5_capmatch,92570.00399999999,0.4275004192638734,0.42623388369534143,0.42149956738179345,0.1567138800461863,0.155386582
B0p5_capmatch,92650.00399999999,0.4270053418024109,0.4257388038338253,0.42101646858369046,0.15678071941347022,0.1554925591
B0p5_capmatch,92720.00399999999,0.4265721471645968,0.4253056051000012,0.4205937617860235,0.15684202111632026,0.1555288881
B0p5_capmatch,92790.00399999999,0.4261389566738596,0.4248724083001775,0.4201710668547851,0.1569012989172982,0.1555881798
B0p5_capmatch,92870.00399999999,0.4256438767098507,0.42437732917837173,0.4196880096764841,0.1569786548925481,0.1556474715
B0p5_capmatch,92940.00399999999,0.4252106805705086,0.4239441358568102,0.4192653290894535,0.1570406778392269,0.1557253003
B0p5_capmatch,93020.00399999999,0.42471559917647317,0.42344905438337077,0.4187822587105662,0.15710711554722545,0.1557979286
B0p5_capmatch,93090.00399999999,0.42428240353764046,0.4230158565826678,0.41835957384348127,0.15716960385358159,0.1558512896
B0p5_capmatch,93170.00399999999,0.42378732393113805,0.4225207710973012,0.41787650548268646,0.15725030183374983,0.155926168
B0p5_capmatch,93240.00399999999,0.42335412764879343,0.42208756878369635,0.41745381833145934,0.15731370620249874,0.1559995413
B0p5_capmatch,93310.00399999999,0.4229209332254833,0.42165437160918123,0.4170311744008002,0.15737537260597764,0.156024009
B0p5_capmatch,93390.00399999999,0.4224258514024398,0.4211592981753227,0.4165481751094843,0.15744689522145774,0.156094417
B0p5_capmatch,93460.00399999999,0.4219926521170395,0.4207261048043357,0.41612551225112093,0.15751024212559317,0.1561826169
B0p5_capmatch,93540.00399999999,0.42149757100900986,0.42023102221820724,0.41564247312262725,0.15758377263710335,0.1562485844
B0p5_capmatch,93610.00399999999,0.4210643751556731,0.41979782592757453,0.4152198246320258,0.15765035225755245,0.1563138068
B0p5_capmatch,93690.00399999999,0.42056929512016294,0.41930274504960713,0.41473680638227217,0.15772958982987262,0.1563738436
B0p5_capmatch,93760.00399999999,0.4201361000533409,0.41886954721613595,0.4143141533405059,0.1578038855510752,0.1564442515
B0p5_capmatch,93830.00399999999,0.4197029050580201,0.4184363499905585,0.41389151978807137,0.15785861292950934,0.156510964
B0p5_capmatch,93910.00399999999,0.41920782309197413,0.41794126732696485,0.4134085004022043,0.15792662195271678,0.1565798819
B0p5_capmatch,93980.00399999999,0.4187746253796032,0.4175080701011494,0.412985873441873,0.15799386546049865,0.156651035
B0p5_capmatch,94060.00399999999,0.41827954613060747,0.41701298859718783,0.4125028673083678,0.1580674023569916,0.1567296088
B0p5_capmatch,94130.00399999999,0.41784635077778,0.4165797898123117,0.41208023226253093,0.15814227589646485,0.1567911208
B0p5_capmatch,94210.00399999999,0.4173512714572829,0.41608471012406273,0.41159725274711223,0.15822651629486661,0.1568607986
B0p5_capmatch,94280.00399999999,0.4169180766049646,0.4156515178213525,0.4111746431100078,0.15829557220184834,0.1569223255
B0p5_capmatch,94360.00399999999,0.41642299671245686,0.415156441534414,0.41069166611449426,0.15836450805159322,0.1569964439
B0p5_capmatch,94430.00399999999,0.4159898044341864,0.4147232522673322,0.4102690682894873,0.15843238551755928,0.1570653766
B0p5_capmatch,94500.00399999999,0.4155566085093484,0.4142900604409717,0.4098464513131822,0.15851836978303951,0.1571328193
B0p5_capmatch,94580.00399999999,0.4150615279018275,0.413794979532318,0.409363452004606,0.1586047813325252,0.1572113931
B0p5_capmatch,94650.00399999999,0.4146283325489999,0.4133617817323225,0.4089408278332125,0.158647856310787,0.1572847664
B0p5_capmatch,94730.00399999999,0.41413325165547377,0.4128667020431443,0.4084578580698106,0.1587266149331803,0.1573544294
B0p5_capmatch,94800.00399999999,0.4137000565886516,0.41243350719805644,0.40803524408306996,0.1588144770605848,0.1574263275
B0p5_capmatch,94880.00399999999,0.41320497855517846,0.4119384263495782,0.40755226688305746,0.15889645729510804,0.1574937701
B0p5_capmatch,94950.00399999999,0.4127717842033697,0.41150523255378973,0.40712966556931557,0.15894694647830743,0.1575745642
B0p5_capmatch,95020.00399999999,0.41233858927955014,0.41107203675599496,0.4067070544530833,0.15902630255935854,0.1576479375
B0p5_capmatch,95100.00399999999,0.41184350666999237,0.4105769535595317,0.40622406584014226,0.15913280794088006,0.1577272415
B0p5_capmatch,95170.00399999999,0.4114103111026607,0.41014375630004607,0.40580146134600914,0.15919740633674598,0.1577895135
B0p5_capmatch,95250.00399999999,0.4109152303521372,0.409648675406537,0.4053184889382464,0.15926488271902947,0.1578665972
B0p5_capmatch,95320.00399999999,0.4104820347848057,0.40921547809942427,0.4048958779348175,0.1593707457708276,0.1579473913
B0p5_capmatch,95400.00399999999,0.40998696046940164,0.4087203960914484,0.40441290532946383,0.15944096450586243,0.1580237299
B0p5_capmatch,95470.00399999999,0.4095537610409987,0.4082871957182671,0.40399027771034246,0.15951047553061962,0.1581193507
B0p5_capmatch,95540.00399999999,0.40912056618868076,0.40785399145140966,0.40356765228479274,0.15958688900563003,0.1581919789
B0p5_capmatch,95620.00399999999,0.40862548858421555,0.40735891181934747,0.40308471317004285,0.15967917293569847,0.1582357138
B0p5_capmatch,95690.00399999999,0.4081922963774466,0.40692572402999283,0.40266214065004574,0.15974098959899094,0.1583135277
B0p5_capmatch,95770.00399999999,0.4076972165564404,0.4064306424548895,0.4021791369857743,0.15983983657036122,0.1584254503
B0p5_capmatch,95840.00399999999,0.40726402535068995,0.4059974396815568,0.40175650657567896,0.15992475119202262,0.158492893
B0p5_capmatch,95920.00399999999,0.4067689476747234,0.4055023582960253,0.4012735480600265,0.160003946151412,0.1585447788
B0p5_capmatch,95990.00399999999,0.4063357524648987,0.405069172602158,0.4008509911598145,0.1600945294163165,0.1586107463
B0p5_capmatch,96060.00399999999,0.40590255296499445,0.40463598065364936,0.40042836532410486,0.16015526477842476,0.1587293297
B0p5_capmatch,96140.00399999999,0.40540747521752685,0.40414089870278447,0.39994537969237975,0.16022749557253732,0.1587797403
B0p5_capmatch,96210.00399999999,0.4049742797931982,0.4037077023354267,0.39952275634894513,0.16030769248611873,0.158883512
B0p5_capmatch,96290.00399999999,0.4044791971121392,0.4032126163153871,0.39903975425982074,0.16041767970931903,0.1589591205
B0p5_capmatch,96360.00399999999,0.4040460054773808,0.40277942159616825,0.39861715805447684,0.1604907870139364,0.1590206325
B0p5_capmatch,96440.00399999999,0.40355092544187077,0.4022843475810955,0.3981341957121157,0.16057714423964015,0.1591169834
B0p5_capmatch,96510.00399999999,0.40311773395011496,0.40185115169194685,0.39771155604650743,0.16065926871322012,0.1592074037
B0p5_capmatch,96580.00399999999,0.40268453931230097,0.4014179478866753,0.3972889014493885,0.16074763891181973,0.159290418
B0p5_capmatch,96660.00399999999,0.40218945756075886,0.40092286827928125,0.3968059391657531,0.16085510166495146,0.1593385935
B0p5_capmatch,96730.00399999999,0.40175625827535866,0.4004896738542074,0.39638330374578923,0.16093525947692738,0.159467563
B0p5_capmatch,96810.00399999999,0.40126117916936566,0.39999458670393573,0.3959002807726379,0.16101987606247822,0.1595387161
B0p5_capmatch,96880.00399999999,0.40082798832112165,0.3995613914757442,0.39547766769361703,0.1611044668979956,0.1596098691
B0p5_capmatch,96960.00399999999,0.4003329048535479,0.3990663093678445,0.3949946474125432,0.16119559785881943,0.1597254872
B0p5_capmatch,97030.00399999999,0.3998997107162431,0.39863310707184624,0.3945719892169778,0.16128001118055107,0.1597936749
B0p5_capmatch,97100.00399999999,0.39946651743695416,0.3981999058070518,0.3941493436969902,0.1613620200610309,0.159866333
