window,dataset,protocol,parameter_match_grade,progress_bin,n_points,mean_residual_mV,rmse_mV,mean_abs_residual_mV
calce_cs2/33/C0p5,calce_cs2,CC,B,0-20%,152,109.37493085019454,110.2539023319118,109.37493085019454
calce_cs2/33/C0p5,calce_cs2,CC,B,20-40%,152,153.0172566442329,153.43415549311857,153.0172566442329
calce_cs2/33/C0p5,calce_cs2,CC,B,40-60%,151,174.85604991296805,174.86246487914502,174.85604991296805
calce_cs2/33/C0p5,calce_cs2,CC,B,60-80%,152,165.83859236372123,165.86248009353577,165.83859236372123
calce_cs2/33/C0p5,calce_cs2,CC,B,80-100%,153,279.4082191718944,326.2617838157091,279.4082191718944
calce_cs2/35/C1,calce_cs2,CC,B,0-20%,75,178.43723082879072,179.5963334698823,178.43723082879072
calce_cs2/35/C1,calce_cs2,CC,B,20-40%,74,221.94188873070635,222.1124562325841,221.94188873070635
calce_cs2/35/C1,calce_cs2,CC,B,40-60%,75,238.128155965073,238.13109024442358,238.128155965073
calce_cs2/35/C1,calce_cs2,CC,B,60-80%,74,240.36767524767285,240.4060621812292,240.36767524767285
calce_cs2/35/C1,calce_cs2,CC,B,80-100%,76,370.3213814211072,407.989023578309,370.3213814211072
chen2020/02/C0p1,chen2020,CC,A,0-20%,240,19.61486599398608,22.400404311897017,19.61486599398608
chen2020/02/C0p1,chen2020,CC,A,20-40%,240,53.765812575507766,53.874195174219324,53.765812575507766
chen2020/02/C0p1,chen2020,CC,A,40-60%,240,69.37402269364112,69.52190435474729,69.37402269364112
chen2020/02/C0p1,chen2020,CC,A,60-80%,240,57.100169436285434,57.24661981488096,57.100169436285434
chen2020/02/C0p1,chen2020,CC,A,80-100%,253,141.0131054485112,162.00076988095506,141.0131054485112
chen2020/02/C0p5,chen2020,CC,A,0-20%,51,18.903656168655992,22.279202519272122,19.58891958829836
chen2020/02/C0p5,chen2020,CC,A,20-40%,48,52.99704132968629,53.4770207370234,52.99704132968629
chen2020/02/C0p5,chen2020,CC,A,40-60%,47,67.86301018698333,68.39511821471292,67.86301018698333
chen2020/02/C0p5,chen2020,CC,A,60-80%,47,73.75496932593995,74.26333620880459,73.75496932593995
chen2020/02/C0p5,chen2020,CC,A,80-100%,91,180.07930618649513,202.0968521045223,180.07930618649513
chen2020/02/C1,chen2020,CC,A,0-20%,32,30.832830641059463,32.2946363518304,30.832830641059463
chen2020/02/C1,chen2020,CC,A,20-40%,24,44.53842978927138,45.34623006536496,44.53842978927138
chen2020/02/C1,chen2020,CC,A,40-60%,24,66.44616544267761,68.62733533085569,66.44616544267761
chen2020/02/C1,chen2020,CC,A,60-80%,23,79.47139418989784,80.19127795655022,79.47139418989784
chen2020/02/C1,chen2020,CC,A,80-100%,73,102.85203310128868,106.88294502610721,102.85203310128868
chen2020/02/C1p5,chen2020,CC,A,0-20%,28,56.41451476147904,61.65272729511143,56.41451476147904
chen2020/02/C1p5,chen2020,CC,A,20-40%,20,32.39753645788902,33.97272136971905,32.39753645788902
chen2020/02/C1p5,chen2020,CC,A,40-60%,18,55.11027002222311,58.63007161464124,55.11027002222311
chen2020/02/C1p5,chen2020,CC,A,60-80%,16,68.86952748119063,70.17739385891115,68.86952748119063
chen2020/02/C1p5,chen2020,CC,A,80-100%,61,13.508439826323475,31.32023058014366,26.178662887619293
