dataset,cell,window,chemistry,model,parameter_set,parameter_match_grade,parameter_match_level,protocol,c_rate,initial_state_value,time_s,elapsed_fraction,q_fraction,current_A,abs_current_A,dI_dt_A_s,abs_dI_dt_A_s,voltage_exp_V,voltage_sim_V,residual_mV,abs_residual_mV
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1770.0,0.04918684688224936,0.0491868598496903,0.500496,0.500496,2.0333333333335164e-05,2.0333333333335164e-05,4.0826,4.092344544222824,9.74454422282367,9.74454422282367
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1800.0,0.05002052225313495,0.05002063406089667,0.500343,0.500343,-5.1000000000023246e-06,5.1000000000023246e-06,4.0819,4.091734508752749,9.834508752748938,9.834508752748938
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1830.0,0.05085419762402053,0.05085420818229955,0.500038,0.500038,-1.0166666666666657e-05,1.0166666666666657e-05,4.0813,4.09114890176415,9.84890176415032,9.84890176415032
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1860.0,0.05168787299490611,0.051687982393505916,0.499886,0.499886,-5.066666666666183e-06,5.066666666666183e-06,4.0807,4.090573663726381,9.87366372638121,9.87366372638121
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1890.0,0.0525215483657917,0.052521556514908786,0.500038,0.500038,5.066666666666183e-06,5.066666666666183e-06,4.0804,4.09000019082686,9.600190826859922,9.600190826859922
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1920.0,0.05335522373667728,0.05335533072611516,0.499733,0.499733,-1.0166666666666657e-05,1.0166666666666657e-05,4.08,4.089458797405928,9.458797405928365,9.458797405928365
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1950.0,0.05418889910756286,0.05418890484751803,0.500343,0.500343,2.0333333333333314e-05,2.0333333333333314e-05,4.0793,4.088895060379918,9.595060379917975,9.595060379917975
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1980.0,0.055022574478448445,0.05502267905872442,0.500191,0.500191,-5.066666666664332e-06,5.066666666664332e-06,4.0784,4.088372844457092,9.972844457092123,9.972844457092123
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2010.0,0.05585624984933402,0.05585625318012729,0.499733,0.499733,-1.526666666666898e-05,1.526666666666898e-05,4.078,4.08787983262576,9.879832625760088,9.879832625760088
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2040.0,0.05668992522021961,0.056690027391333664,0.500343,0.500343,2.0333333333333314e-05,2.0333333333333314e-05,4.0775,4.087358630450759,9.85863045075952,9.85863045075952
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2070.0,0.057523600591105194,0.057523601512736534,0.499733,0.499733,-2.0333333333333314e-05,2.0333333333333314e-05,4.0771,4.0868970000225335,9.797000022533808,9.797000022533808
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2100.0,0.05835727596199077,0.0583573757239429,0.49958,0.49958,-5.099999999998624e-06,5.099999999998624e-06,4.0766,4.086434583242307,9.834583242306572,9.834583242306572
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2130.0,0.05919095133287636,0.05919094984534578,0.500191,0.500191,2.0366666666667608e-05,2.0366666666667608e-05,4.0763,4.085953231053049,9.653231053048827,9.653231053048827
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2160.0,0.06002462670376194,0.06002472405655216,0.500191,0.500191,0.0,0.0,4.0757,4.0855058073105575,9.805807310557135,9.805807310557135
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2190.0,0.06085830207464752,0.06085829817795503,0.499886,0.499886,-1.0166666666668507e-05,1.0166666666668507e-05,4.0754,4.085085066966903,9.6850669669033,9.6850669669033
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2220.0,0.061691977445533105,0.061692072389161405,0.499733,0.499733,-5.100000000000475e-06,5.100000000000475e-06,4.0749,4.084672722712988,9.772722712988013,9.772722712988013
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2250.0,0.06252565281641868,0.06252564651056428,0.499886,0.499886,5.100000000000475e-06,5.100000000000475e-06,4.0745,4.084260370372801,9.760370372801752,9.760370372801752
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2280.0,0.06335932818730428,0.06335942072177066,0.500038,0.500038,5.066666666666183e-06,5.066666666666183e-06,4.0742,4.083858759989145,9.65875998914445,9.65875998914445
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2310.0,0.06419300355818985,0.06419299484317353,0.499886,0.499886,-5.066666666666183e-06,5.066666666666183e-06,4.0737,4.083480776006387,9.78077600638727,9.78077600638727
