Time [s],Voltage [V],Current [mA],Capacity [mAh],Temperature [K]
567552.8099371826,3.7428939,-0.6879692825150742,1.905100052256817,298.15
567612.8099434411,3.7411215,-0.6879693094047135,1.916566208609575,298.15
567672.8099496996,3.7392702,-0.6879674425715392,1.928032333848444,298.15
567732.809955958,3.7373796,-0.6879676165078086,1.939498461986251,298.15
567792.8099622165,3.7354887,-0.6879684054745411,1.950964603273505,298.15
567852.809968475,3.733598,-0.6879673669829234,1.962430727252564,298.15
567912.8099747335,3.7318256,-0.6879666200315008,1.973896838782431,298.15
567972.809980992,3.7299347,-0.6879669325167657,1.985362955520386,298.15
568032.8099872505,3.7281229,-0.6879661848063773,1.9968290597965,298.15
568092.809993509,3.7261927,-0.6879669727061867,2.008295177204279,298.15
568152.8099997675,3.7243414,-0.6879660075560899,2.019761278526221,298.15
568212.810006026,3.722569,-0.6879666861966232,2.03122739115884,298.15
568272.8100122844,3.720757,-0.6879671054000198,2.042693510778183,298.15
568332.8100185429,3.718827,-0.687969112401449,2.054159663847554,298.15
568392.8100248014,3.7169757,-0.6879694382619947,2.065625822347934,298.15
568452.8100310599,3.7151637,-0.6879705028564703,2.077091998591557,298.15
568512.8100373184,3.7131941,-0.6879683300369237,2.088558138621517,298.15
568572.8100435769,3.7112248,-0.6879664193406959,2.100024246806536,298.15
568632.8100498354,3.7094522,-0.6879677024974338,2.111490376377504,298.15
568692.8100560938,3.7074432,-0.6879651975449466,2.122956464199259,298.15
568752.8100623523,3.7055132,-0.687965171992438,2.134422551595139,298.15
568812.8100686108,3.7035832,-0.6879651418126227,2.145888638488022,298.15
568872.8100748693,3.7016923,-0.6879635374921844,2.157354698642228,298.15
568932.8100811278,3.699723,-0.6879637427010209,2.168820762216582,298.15
568992.8100873863,3.6977928,-0.6879652349587781,2.180286850661901,298.15
569052.8100936448,3.6958234,-0.6879649172998306,2.191752933812904,298.15
569112.8100999033,3.6938145,-0.6879648607012526,2.203219016020597,298.15
569172.8101061617,3.6919239,-0.6879629392145985,2.214685066203509,298.15
569232.8101124202,3.6899936,-0.6879633700726888,2.22615112356739,298.15
569292.8101186787,3.687906,-0.6879659937754975,2.237617224659656,298.15
569352.8101249372,3.686094,-0.6879651627278903,2.249083311901126,298.15
569412.8101311957,3.684164,-0.6879635833738483,2.260549372820027,298.15
569472.8101374542,3.6820369,-0.6879636168915234,2.272015434297556,298.15
569532.8101437127,3.6800675,-0.6879658592696833,2.283481533148058,298.15
569592.8101499712,3.6780586,-0.6879657120998702,2.294947629545729,298.15
569652.8101562297,3.676089,-0.6879661100661342,2.306413732576173,298.15
569712.8101624881,3.6740015,-0.6879652354435626,2.317879821029571,298.15
569772.8101687466,3.6720319,-0.6879662973141062,2.329345927180814,298.15
569832.8101750051,3.6699443,-0.6879643085675912,2.340812000186279,298.15
569892.8101812636,3.667896,-0.6879645982342136,2.352278078019521,298.15
569952.8101875221,3.6659267,-0.6879649840689468,2.363744162283342,298.15
570012.8101937806,3.6638389,-0.6879662490720986,2.375210267630552,298.15
570072.8102000391,3.6617513,-0.6879668536777103,2.386676383054522,298.15
570132.8102062976,3.6598213,-0.6879664486840595,2.398142491728598,298.15
570192.810212556,3.6576154,-0.6879650815006757,2.409608577616282,298.15
570252.8102188145,3.6556065,-0.6879646013555099,2.421074655501545,298.15
570312.810225073,3.6535976,-0.6879665826792606,2.432540766408875,298.15
570372.8102313315,3.6515493,-0.6879670702630853,2.444006885442602,298.15
570432.81023759,3.6494224,-0.6879664630587115,2.455472994356256,298.15
570492.8102438485,3.6472166,-0.6879673137222052,2.466939117447636,298.15
570552.810250107,3.645129,-0.6879675889466238,2.47840524512609,298.15
570612.8102563655,3.6429625,-0.6879675454392112,2.48987137207942,298.15
570672.8102626239,3.6407173,-0.6879661737199145,2.50133747617076,298.15
570732.8102688824,3.6385901,-0.6879658678646723,2.512803575164511,298.15
570792.8102751409,3.6363842,-0.6879656569218696,2.524269670642549,298.15
570852.8102813994,3.634021,-0.6879671438768008,2.535735790903172,298.15
570912.8102876579,3.6316969,-0.6879669838562277,2.547201908496785,298.15
570972.8102939164,3.6293335,-0.6879650884267348,2.558667994499903,298.15
571032.8103001749,3.6270096,-0.6879652211682515,2.57013408271538,298.15
571092.8103064334,3.6245282,-0.687965260562944,2.581600171587435,298.15
571152.8103126918,3.6219678,-0.6879663758372571,2.593066279047398,298.15
571212.8103189503,3.6193285,-0.6879663423672656,2.604532385949526,298.15
571272.8103252088,3.6167684,-0.6879679209941311,2.615998519162106,298.15
571332.8103314673,3.6139717,-0.6879674070849243,2.627464643809531,298.15
571392.8103377258,3.6112144,-0.6879681100461368,2.638930780172978,298.15
571452.8103439843,3.6081419,-0.68796865093439,2.65039692555123,298.15
571512.8103502428,3.6052666,-0.6879675548309154,2.661863052661089,298.15
571572.8103565013,3.6019185,-0.6879685964954867,2.673329197132025,298.15
571632.8103627597,3.5986884,-0.6879703949323381,2.684795371576913,298.15
571692.8103690182,3.5951433,-0.6879683872156535,2.696261512559852,298.15
571752.8103752767,3.5912831,-0.6879680235896085,2.707727647482356,298.15
571812.8103815352,3.5875411,-0.6879672318095373,2.719193769208525,298.15
571872.8103877937,3.583287,-0.6879668831462437,2.730659885123638,298.15
571932.8103940522,3.5787966,-0.6879659137185207,2.74212598488162,298.15
571992.8104003107,3.573873,-0.687965664843326,2.753592080491682,298.15
572048.9804061688,3.5688705,-0.6879665037098408,2.76432627008713,298.15
572101.254411622,3.5638285,-0.6879680207439872,2.774315948994889,298.15
572149.1084166132,3.558826,-0.6879670207789571,2.783460942674379,298.15
