Stoichiometry,Voltage [V]
0.663914,3.78467
0.663325,3.78518
0.662736,3.78569
0.662147,3.7862
0.661558,3.78671
0.660969,3.78722
0.66038,3.78773
0.659791,3.78824
0.659202,3.78876
0.658613,3.78928
0.658024,3.78979
0.657435,3.79031
0.656846,3.79084
0.656257,3.79136
0.655668,3.79189
0.655079,3.79242
0.65449,3.79295
0.653901,3.79348
0.653312,3.79402
0.652723,3.79455
0.652134,3.79509
0.651545,3.79562
0.650956,3.79616
0.650367,3.7967
0.649778,3.79724
0.649189,3.79778
0.6486,3.79833
0.648011,3.79887
0.647422,3.79942
0.646833,3.79997
0.646244,3.80053
0.645655,3.80109
0.645066,3.80166
0.644477,3.80224
0.643888,3.80282
0.643299,3.8034
0.64271,3.80399
0.642121,3.80456
0.641532,3.80514
0.640943,3.80571
0.640354,3.80628
0.639765,3.80685
0.639176,3.80742
0.638586,3.80799
0.637997,3.80858
0.637408,3.80917
0.636819,3.80977
0.63623,3.81038
0.635641,3.81099
0.635052,3.8116
0.634463,3.81222
0.633874,3.81283
0.633285,3.81345
0.632696,3.81408
0.632107,3.81471
0.631518,3.81534
0.630929,3.81597
0.63034,3.8166
0.629751,3.81724
0.629162,3.81789
0.628573,3.81854
0.627984,3.8192
0.627395,3.81986
0.626806,3.82053
0.626217,3.8212
0.625628,3.82187
0.625039,3.82254
0.62445,3.82322
0.623861,3.8239
0.623272,3.82458
0.622683,3.82527
0.622094,3.82595
0.621505,3.82664
0.620916,3.82734
0.620327,3.82804
0.619738,3.82874
0.619149,3.82946
0.618559,3.83017
0.61797,3.83089
0.617381,3.83162
0.616792,3.83234
0.616203,3.83308
0.615614,3.83381
0.615025,3.83455
0.614436,3.83529
0.613847,3.83603
0.613258,3.83678
0.612669,3.83753
0.61208,3.83829
0.611491,3.83905
0.610902,3.83981
0.610313,3.84058
0.609724,3.84135
0.609135,3.84213
0.608546,3.84291
0.607957,3.8437
0.607368,3.84449
0.606779,3.84529
0.60619,3.8461
0.605601,3.84691
0.605012,3.84772
0.604423,3.84854
0.603834,3.84936
0.603245,3.85018
0.602656,3.85101
0.602067,3.85183
0.601478,3.85266
0.600889,3.85349
0.6003,3.85432
0.599711,3.85516
0.599122,3.85601
0.598533,3.85686
0.597944,3.85772
0.597355,3.85858
0.596766,3.85944
0.596177,3.86031
0.595588,3.86117
0.594999,3.86203
0.59441,3.8629
0.59382,3.86376
0.593231,3.86463
0.592642,3.86551
0.592053,3.86639
0.591464,3.86727
0.590875,3.86815
0.590286,3.86904
0.589697,3.86993
0.589108,3.87082
0.588519,3.87172
0.58793,3.87263
0.587341,3.87353
0.586752,3.87444
0.586163,3.87536
0.585574,3.87627
0.584985,3.87719
0.584396,3.8781
0.583807,3.87901
0.583218,3.87992
0.582629,3.88083
0.58204,3.88174
